team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE BOBCATS,265,43,90,4,10,20,28,13,34,22,12,5,14,19
ATLANTA HAWKS,265,42,91,3,13,18,24,15,41,29,7,2,18,24
DETROIT PISTONS,265,34,87,6,14,11,21,12,32,22,9,6,16,22
CHICAGO BULLS,265,33,94,5,21,13,17,24,36,21,8,6,19,26
MEMPHIS GRIZZLIES,240,34,82,4,10,17,24,14,20,16,7,6,13,22
DALLAS MAVERICKS,240,40,82,5,14,25,29,18,30,18,7,9,11,21
GOLDEN STATE WARRIORS,240,41,95,11,34,13,20,12,32,24,7,6,18,29
DENVER NUGGETS,240,46,87,4,16,26,36,8,38,38,9,7,11,16
PHOENIX SUNS,240,41,84,19,37,7,16,11,32,31,8,2,11,18
LOS ANGELES LAKERS,240,39,87,7,21,12,16,13,29,29,8,3,15,15
CLEVELAND CAVALIERS,240,44,91,2,13,24,32,19,18,25,9,3,12,22
ORLANDO MAGIC,240,41,74,6,18,18,31,15,26,26,8,4,22,28
HOUSTON ROCKETS,240,29,67,7,19,25,28,7,38,15,1,7,9,21
SEATTLE SUPERSONICS,240,28,82,5,20,17,20,13,27,13,5,3,6,26
INDIANA PACERS,240,30,70,3,8,31,38,11,31,12,5,0,14,17
TORONTO RAPTORS,240,36,79,9,19,9,14,11,27,21,9,6,13,25
MILWAUKEE BUCKS,240,43,85,8,25,18,23,10,21,25,6,5,10,24
WASHINGTON WIZARDS,240,45,84,6,16,23,29,19,24,29,5,1,13,21
