team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
NEW YORK KNICKS,240,43,77,13,25,13,19,9,30,33,7,7,17,19,2015-04-13,away,win,112.0,ATLANTA HAWKS,108.0,0.35833333333333334,0.34210526315789475,39
ATLANTA HAWKS,240,39,88,11,32,19,23,12,25,27,10,3,8,17,2015-04-13,home,loss,108.0,NEW YORK KNICKS,112.0,0.30708661417322836,0.2558139534883721,37
CHICAGO BULLS,240,44,88,12,30,13,17,9,37,26,7,8,7,18,2015-04-13,away,win,113.0,BROOKLYN NETS,86.0,0.3333333333333333,0.2857142857142857,46
BROOKLYN NETS,240,32,87,3,12,19,22,12,30,12,2,3,10,14,2015-04-13,home,loss,86.0,CHICAGO BULLS,113.0,0.2689075630252101,0.2,42
HOUSTON ROCKETS,240,35,85,9,35,21,26,10,39,19,9,10,10,18,2015-04-13,away,win,100.0,CHARLOTTE HORNETS,90.0,0.2916666666666667,0.20454545454545456,49
CHARLOTTE HORNETS,240,34,83,13,32,9,17,7,36,23,8,5,15,17,2015-04-13,home,loss,90.0,HOUSTON ROCKETS,100.0,0.2905982905982906,0.28888888888888886,43
DETROIT PISTONS,240,38,83,9,25,12,20,8,23,21,4,4,7,8,2015-04-13,away,loss,97.0,CLEVELAND CAVALIERS,109.0,0.3140495867768595,0.2647058823529412,31
CLEVELAND CAVALIERS,240,43,85,17,32,6,12,13,32,30,5,7,10,19,2015-04-13,home,win,109.0,DETROIT PISTONS,97.0,0.3359375,0.3469387755102041,45
MEMPHIS GRIZZLIES,240,41,98,5,15,20,25,18,26,24,11,4,15,22,2015-04-13,away,loss,107.0,GOLDEN STATE WARRIORS,111.0,0.2949640287769784,0.25,44
GOLDEN STATE WARRIORS,240,39,74,13,24,20,27,6,33,30,9,7,21,22,2015-04-13,home,win,111.0,MEMPHIS GRIZZLIES,107.0,0.34513274336283184,0.35135135135135137,39
DENVER NUGGETS,240,38,101,12,33,15,22,25,33,18,7,0,11,27,2015-04-13,away,loss,103.0,LOS ANGELES CLIPPERS,110.0,0.2733812949640288,0.26666666666666666,58
LOS ANGELES CLIPPERS,240,37,82,7,21,29,37,13,34,25,7,8,13,16,2015-04-13,home,win,110.0,DENVER NUGGETS,103.0,0.31092436974789917,0.25,47
ORLANDO MAGIC,240,35,85,6,21,17,28,11,30,14,10,4,8,23,2015-04-13,away,loss,93.0,MIAMI HEAT,100.0,0.2916666666666667,0.2222222222222222,41
MIAMI HEAT,240,39,83,3,10,19,23,11,39,21,2,9,13,19,2015-04-13,home,win,100.0,ORLANDO MAGIC,93.0,0.319672131147541,0.23076923076923078,50
NEW ORLEANS PELICANS,240,37,84,6,21,20,24,10,29,15,6,9,9,23,2015-04-13,away,win,100.0,MINNESOTA TIMBERWOLVES,88.0,0.30578512396694213,0.2222222222222222,39
MINNESOTA TIMBERWOLVES,240,31,78,4,14,22,28,8,35,19,1,10,11,22,2015-04-13,home,loss,88.0,NEW ORLEANS PELICANS,100.0,0.28440366972477066,0.2222222222222222,43
PORTLAND TRAIL BLAZERS,240,38,83,8,23,6,9,3,32,22,1,4,12,21,2015-04-13,away,loss,90.0,OKLAHOMA CITY THUNDER,101.0,0.3140495867768595,0.25806451612903225,35
OKLAHOMA CITY THUNDER,240,39,96,4,21,19,27,18,40,14,8,6,8,19,2015-04-13,home,win,101.0,PORTLAND TRAIL BLAZERS,90.0,0.28888888888888886,0.16,58
MILWAUKEE BUCKS,240,40,81,4,9,23,36,12,27,23,13,7,18,25,2015-04-13,away,win,107.0,PHILADELPHIA 76ERS,97.0,0.3305785123966942,0.3076923076923077,39
PHILADELPHIA 76ERS,240,32,81,6,28,27,34,14,26,22,11,6,29,28,2015-04-13,home,loss,97.0,MILWAUKEE BUCKS,107.0,0.2831858407079646,0.17647058823529413,40
LOS ANGELES LAKERS,240,40,96,4,15,8,13,17,32,19,8,3,11,26,2015-04-13,away,loss,92.0,SACRAMENTO KINGS,102.0,0.29411764705882354,0.21052631578947367,49
SACRAMENTO KINGS,240,35,72,4,16,28,36,5,36,22,4,6,10,14,2015-04-13,home,win,102.0,LOS ANGELES LAKERS,92.0,0.32710280373831774,0.2,41
DALLAS MAVERICKS,240,34,82,9,20,15,23,12,29,18,4,4,16,21,2015-04-13,away,loss,92.0,UTAH JAZZ,109.0,0.29310344827586204,0.3103448275862069,41
UTAH JAZZ,240,41,82,11,28,16,26,12,36,24,10,6,14,19,2015-04-13,home,win,109.0,DALLAS MAVERICKS,92.0,0.3333333333333333,0.28205128205128205,48
