team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
CHICAGO BULLS,240,35,93,6,29,10,14,15,42,18,3,6,14,17,2014-12-15,away,loss,86.0,ATLANTA HAWKS,93.0,0.2734375,0.17142857142857143,57
ATLANTA HAWKS,240,36,83,7,21,14,17,5,35,26,10,7,9,17,2014-12-15,home,win,93.0,CHICAGO BULLS,86.0,0.3025210084033613,0.25,40
CHARLOTTE HORNETS,240,38,83,5,16,7,14,5,32,22,4,5,10,14,2014-12-15,away,loss,88.0,CLEVELAND CAVALIERS,97.0,0.3140495867768595,0.23809523809523808,37
CLEVELAND CAVALIERS,240,38,83,9,24,12,17,8,35,28,10,5,10,14,2014-12-15,home,win,97.0,CHARLOTTE HORNETS,88.0,0.3140495867768595,0.2727272727272727,43
LOS ANGELES LAKERS,240,29,88,10,26,23,29,11,27,14,10,5,9,20,2014-12-15,away,loss,91.0,INDIANA PACERS,110.0,0.24786324786324787,0.2777777777777778,38
INDIANA PACERS,240,40,83,7,17,23,27,11,42,21,7,2,13,20,2014-12-15,home,win,110.0,LOS ANGELES LAKERS,91.0,0.3252032520325203,0.2916666666666667,53
DETROIT PISTONS,240,35,83,8,27,13,22,17,24,23,10,3,17,19,2014-12-15,away,loss,91.0,LOS ANGELES CLIPPERS,113.0,0.2966101694915254,0.22857142857142856,41
LOS ANGELES CLIPPERS,240,43,80,12,24,15,20,12,29,35,9,3,14,21,2014-12-15,home,win,113.0,DETROIT PISTONS,91.0,0.34959349593495936,0.3333333333333333,41
BOSTON CELTICS,240,38,86,6,25,23,35,16,36,26,15,5,22,23,2014-12-15,away,win,105.0,PHILADELPHIA 76ERS,87.0,0.3064516129032258,0.1935483870967742,52
PHILADELPHIA 76ERS,240,33,93,4,28,17,21,16,32,19,11,9,22,28,2014-12-15,home,loss,87.0,BOSTON CELTICS,105.0,0.2619047619047619,0.125,48
MILWAUKEE BUCKS,240,35,73,8,16,18,22,5,28,23,10,1,21,27,2014-12-15,away,win,96.0,PHOENIX SUNS,94.0,0.32407407407407407,0.3333333333333333,33
PHOENIX SUNS,240,30,75,12,38,22,27,16,26,17,12,5,20,24,2014-12-15,home,loss,94.0,MILWAUKEE BUCKS,96.0,0.2857142857142857,0.24,42
SAN ANTONIO SPURS,240,38,78,4,11,15,22,9,33,19,5,4,15,21,2014-12-15,away,loss,95.0,PORTLAND TRAIL BLAZERS,108.0,0.3275862068965517,0.26666666666666666,42
PORTLAND TRAIL BLAZERS,240,41,89,7,18,19,22,11,35,18,8,2,11,19,2014-12-15,home,win,108.0,SAN ANTONIO SPURS,95.0,0.3153846153846154,0.28,46
ORLANDO MAGIC,240,36,74,4,15,6,8,6,30,13,5,7,19,19,2014-12-15,away,loss,82.0,TORONTO RAPTORS,95.0,0.32727272727272727,0.21052631578947367,36
TORONTO RAPTORS,240,37,83,11,30,10,15,12,27,25,8,4,11,14,2014-12-15,home,win,95.0,ORLANDO MAGIC,82.0,0.30833333333333335,0.2682926829268293,39
