team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
BOSTON CELTICS,265,45,100,5,17,9,11,10,35,26,9,6,20,28,2015-01-03,away,loss,104.0,CHICAGO BULLS,109.0,0.3103448275862069,0.22727272727272727,45
CHICAGO BULLS,265,37,100,6,28,29,40,24,35,19,10,9,16,14,2015-01-03,home,win,109.0,BOSTON CELTICS,104.0,0.27007299270072993,0.17647058823529413,59
MEMPHIS GRIZZLIES,240,37,86,2,14,9,13,8,29,20,6,8,12,20,2015-01-03,away,loss,85.0,DENVER NUGGETS,114.0,0.3008130081300813,0.125,37
DENVER NUGGETS,240,41,79,7,15,25,31,8,40,21,6,8,13,14,2015-01-03,home,win,114.0,MEMPHIS GRIZZLIES,85.0,0.3416666666666667,0.3181818181818182,48
MIAMI HEAT,240,30,68,4,17,15,25,8,25,20,6,3,21,18,2015-01-03,away,loss,79.0,HOUSTON ROCKETS,115.0,0.30612244897959184,0.19047619047619047,33
HOUSTON ROCKETS,240,41,83,13,31,20,28,17,31,21,13,1,16,18,2015-01-03,home,win,115.0,MIAMI HEAT,79.0,0.33064516129032256,0.29545454545454547,48
PHILADELPHIA 76ERS,240,32,79,9,25,18,26,15,30,17,7,1,21,19,2015-01-03,away,loss,91.0,LOS ANGELES CLIPPERS,127.0,0.2882882882882883,0.2647058823529412,45
LOS ANGELES CLIPPERS,240,46,85,15,37,20,26,9,34,33,13,3,8,19,2015-01-03,home,win,127.0,PHILADELPHIA 76ERS,91.0,0.3511450381679389,0.28846153846153844,43
UTAH JAZZ,240,38,75,11,20,14,21,11,36,23,6,10,12,16,2015-01-03,away,win,101.0,MINNESOTA TIMBERWOLVES,89.0,0.336283185840708,0.3548387096774194,47
MINNESOTA TIMBERWOLVES,240,34,86,6,19,15,18,14,23,17,8,5,8,15,2015-01-03,home,loss,89.0,UTAH JAZZ,101.0,0.2833333333333333,0.24,37
CHARLOTTE HORNETS,240,35,78,4,16,24,32,16,37,16,4,4,14,15,2015-01-03,away,win,98.0,ORLANDO MAGIC,90.0,0.30973451327433627,0.2,53
ORLANDO MAGIC,240,33,87,4,19,20,21,12,32,18,9,3,7,24,2015-01-03,home,loss,90.0,CHARLOTTE HORNETS,98.0,0.275,0.17391304347826086,44
ATLANTA HAWKS,240,43,84,6,17,23,31,10,36,17,9,5,14,15,2015-01-03,away,win,115.0,PORTLAND TRAIL BLAZERS,107.0,0.33858267716535434,0.2608695652173913,46
PORTLAND TRAIL BLAZERS,240,42,93,13,33,10,12,11,33,24,6,7,18,23,2015-01-03,home,loss,107.0,ATLANTA HAWKS,115.0,0.3111111111111111,0.2826086956521739,44
WASHINGTON WIZARDS,240,40,82,4,14,8,13,9,22,23,6,6,6,18,2015-01-03,away,loss,92.0,SAN ANTONIO SPURS,101.0,0.32786885245901637,0.2222222222222222,31
SAN ANTONIO SPURS,240,43,78,4,16,11,18,9,29,27,4,5,10,16,2015-01-03,home,win,101.0,WASHINGTON WIZARDS,92.0,0.35537190082644626,0.2,38
