team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
DETROIT PISTONS,240,39,78,5,15,13,17,9,25,23,5,3,11,21,2011-03-20,away,loss,96.0,ATLANTA HAWKS,104.0,0.3333333333333333,0.25,34
ATLANTA HAWKS,240,37,70,7,15,23,31,8,31,25,8,5,9,12,2011-03-20,home,win,104.0,DETROIT PISTONS,96.0,0.34579439252336447,0.3181818181818182,39
GOLDEN STATE WARRIORS,240,27,77,5,20,14,20,6,33,16,7,4,16,19,2011-03-20,away,loss,73.0,DALLAS MAVERICKS,101.0,0.25961538461538464,0.2,39
DALLAS MAVERICKS,240,34,79,12,33,21,25,11,40,24,10,3,15,22,2011-03-20,home,win,101.0,GOLDEN STATE WARRIORS,73.0,0.3008849557522124,0.26666666666666666,51
UTAH JAZZ,240,42,97,8,16,16,25,22,30,20,2,6,14,26,2011-03-20,away,loss,108.0,HOUSTON ROCKETS,110.0,0.302158273381295,0.3333333333333333,52
HOUSTON ROCKETS,240,33,82,8,19,36,41,14,34,18,6,6,10,20,2011-03-20,home,win,110.0,UTAH JAZZ,108.0,0.28695652173913044,0.2962962962962963,48
PHOENIX SUNS,240,41,84,10,22,16,19,9,29,24,4,5,8,15,2011-03-20,away,win,108.0,LOS ANGELES CLIPPERS,99.0,0.328,0.3125,38
LOS ANGELES CLIPPERS,240,38,84,9,20,14,17,7,31,24,7,4,10,20,2011-03-20,home,loss,99.0,PHOENIX SUNS,108.0,0.3114754098360656,0.3103448275862069,38
PORTLAND TRAIL BLAZERS,240,32,83,6,25,10,15,17,28,21,7,4,13,11,2011-03-20,away,loss,80.0,LOS ANGELES LAKERS,84.0,0.2782608695652174,0.1935483870967742,45
LOS ANGELES LAKERS,240,35,78,3,17,11,12,9,26,24,10,5,12,17,2011-03-20,home,win,84.0,PORTLAND TRAIL BLAZERS,80.0,0.30973451327433627,0.15,35
NEW YORK KNICKS,240,34,88,9,22,18,22,9,30,22,5,1,6,26,2011-03-20,away,loss,95.0,MILWAUKEE BUCKS,100.0,0.2786885245901639,0.2903225806451613,39
MILWAUKEE BUCKS,240,31,72,7,19,31,37,12,38,18,5,7,12,18,2011-03-20,home,win,100.0,NEW YORK KNICKS,95.0,0.30097087378640774,0.2692307692307692,50
SACRAMENTO KINGS,240,51,91,11,22,14,23,11,36,30,11,4,16,22,2011-03-20,away,win,127.0,MINNESOTA TIMBERWOLVES,95.0,0.3591549295774648,0.3333333333333333,47
MINNESOTA TIMBERWOLVES,240,35,79,7,17,18,24,5,22,20,7,3,25,20,2011-03-20,home,loss,95.0,SACRAMENTO KINGS,127.0,0.30701754385964913,0.2916666666666667,27
TORONTO RAPTORS,240,35,81,6,14,19,24,10,33,20,8,3,11,24,2011-03-20,away,win,95.0,OKLAHOMA CITY THUNDER,93.0,0.3017241379310345,0.3,43
OKLAHOMA CITY THUNDER,240,30,75,5,17,28,35,9,35,18,4,0,10,19,2011-03-20,home,loss,93.0,TORONTO RAPTORS,95.0,0.2857142857142857,0.22727272727272727,44
NEW JERSEY NETS,240,38,87,3,17,13,18,21,26,26,8,4,20,23,2011-03-20,away,loss,92.0,WASHINGTON WIZARDS,98.0,0.304,0.15,47
WASHINGTON WIZARDS,240,42,81,1,8,13,17,10,22,21,12,7,10,15,2011-03-20,home,win,98.0,NEW JERSEY NETS,92.0,0.34146341463414637,0.1111111111111111,32
