team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
LOS ANGELES CLIPPERS,240,27,81,2,9,24,33,13,29,10,7,3,12,18,2010-11-18,away,loss,80.0,INDIANA PACERS,107.0,0.25,0.18181818181818182,42
INDIANA PACERS,240,39,77,14,26,15,20,6,41,24,7,14,14,25,2010-11-18,home,win,107.0,LOS ANGELES CLIPPERS,80.0,0.33620689655172414,0.35,47
PHOENIX SUNS,240,31,68,3,18,24,33,10,24,15,8,1,18,23,2010-11-18,away,loss,89.0,ORLANDO MAGIC,105.0,0.31313131313131315,0.14285714285714285,34
ORLANDO MAGIC,240,40,74,10,25,15,23,13,24,25,9,5,17,27,2010-11-18,home,win,105.0,PHOENIX SUNS,89.0,0.3508771929824561,0.2857142857142857,37
DENVER NUGGETS,240,25,65,10,26,23,28,7,28,18,6,5,17,26,2010-11-18,away,loss,83.0,PORTLAND TRAIL BLAZERS,86.0,0.2777777777777778,0.2777777777777778,35
PORTLAND TRAIL BLAZERS,240,34,85,7,22,11,22,16,32,18,6,7,12,20,2010-11-18,home,win,86.0,DENVER NUGGETS,83.0,0.2857142857142857,0.2413793103448276,48
