team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DETROIT PISTONS,240,45,81,8,19,14,19,11,28,32,9,4,13,19,away,win,112.0,CHARLOTTE BOBCATS,101.0
CHARLOTTE BOBCATS,240,42,78,8,18,9,20,8,21,29,4,5,13,16,home,loss,101.0,DETROIT PISTONS,112.0
PHOENIX SUNS,240,35,82,2,20,18,33,14,23,19,5,1,14,18,away,loss,90.0,DALLAS MAVERICKS,115.0
DALLAS MAVERICKS,240,45,89,11,27,14,18,18,33,29,7,4,14,23,home,win,115.0,PHOENIX SUNS,90.0
SACRAMENTO KINGS,240,37,82,6,18,24,30,15,37,23,7,2,21,19,away,win,104.0,GOLDEN STATE WARRIORS,103.0
GOLDEN STATE WARRIORS,240,42,101,6,22,13,18,19,24,27,13,7,10,22,home,loss,103.0,SACRAMENTO KINGS,104.0
NEW YORK KNICKS,240,31,80,12,38,36,43,7,35,18,10,9,11,26,away,win,110.0,INDIANA PACERS,109.0
INDIANA PACERS,240,39,88,5,14,26,33,12,36,20,4,4,13,25,home,loss,109.0,NEW YORK KNICKS,110.0
OKLAHOMA CITY THUNDER,240,40,72,8,17,32,35,5,33,19,7,6,12,22,away,win,120.0,LOS ANGELES LAKERS,106.0
LOS ANGELES LAKERS,240,38,81,7,15,23,28,10,24,23,10,5,10,23,home,loss,106.0,OKLAHOMA CITY THUNDER,120.0
NEW ORLEANS HORNETS,240,33,80,8,17,15,25,11,23,24,9,4,14,25,away,loss,89.0,MEMPHIS GRIZZLIES,111.0
MEMPHIS GRIZZLIES,240,41,68,5,12,24,33,6,35,26,10,5,14,21,home,win,111.0,NEW ORLEANS HORNETS,89.0
BOSTON CELTICS,240,29,64,6,13,13,16,3,23,16,9,2,14,18,away,loss,77.0,MIAMI HEAT,100.0
MIAMI HEAT,240,38,75,6,18,18,26,15,27,24,9,4,17,17,home,win,100.0,BOSTON CELTICS,77.0
CHICAGO BULLS,240,36,60,7,13,23,26,5,32,25,8,4,21,17,away,win,102.0,ORLANDO MAGIC,99.0
ORLANDO MAGIC,240,35,81,12,24,17,21,16,17,22,11,4,13,19,home,loss,99.0,CHICAGO BULLS,102.0
NEW JERSEY NETS,240,34,88,2,13,22,27,16,15,16,11,8,10,20,away,loss,92.0,TORONTO RAPTORS,99.0
TORONTO RAPTORS,240,39,76,1,6,20,28,15,30,20,8,3,18,22,home,win,99.0,NEW JERSEY NETS,92.0
