team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
TORONTO RAPTORS,240,35,82,6,22,30,35,17,27,18,7,4,15,29,2004-11-17,away,loss,106.0,DENVER NUGGETS,112.0,0.29914529914529914,0.21428571428571427,44
DENVER NUGGETS,240,40,84,2,8,30,34,17,27,25,7,8,15,27,2004-11-17,home,win,112.0,TORONTO RAPTORS,106.0,0.3225806451612903,0.2,44
MINNESOTA TIMBERWOLVES,240,31,75,5,15,18,20,8,31,20,5,5,17,23,2004-11-17,away,loss,85.0,DETROIT PISTONS,93.0,0.29245283018867924,0.25,39
DETROIT PISTONS,240,36,83,4,14,17,20,8,31,23,11,5,10,21,2004-11-17,home,win,93.0,MINNESOTA TIMBERWOLVES,85.0,0.3025210084033613,0.2222222222222222,39
CHICAGO BULLS,240,33,82,7,21,12,14,11,30,26,11,2,24,25,2004-11-17,away,loss,85.0,GOLDEN STATE WARRIORS,98.0,0.28695652173913044,0.25,41
GOLDEN STATE WARRIORS,240,37,84,10,21,14,19,13,33,25,10,6,23,25,2004-11-17,home,win,98.0,CHICAGO BULLS,85.0,0.30578512396694213,0.3225806451612903,46
ATLANTA HAWKS,240,33,78,6,17,14,23,11,25,20,12,4,12,28,2004-11-17,away,loss,86.0,INDIANA PACERS,93.0,0.2972972972972973,0.2608695652173913,36
INDIANA PACERS,240,31,68,6,14,25,29,12,35,20,7,6,18,23,2004-11-17,home,win,93.0,ATLANTA HAWKS,86.0,0.31313131313131315,0.3,47
LOS ANGELES CLIPPERS,240,38,92,4,12,9,11,16,24,23,7,3,16,23,2004-11-17,away,loss,89.0,LOS ANGELES LAKERS,103.0,0.2923076923076923,0.25,40
LOS ANGELES LAKERS,240,39,76,5,16,20,24,7,30,24,11,8,14,15,2004-11-17,home,win,103.0,LOS ANGELES CLIPPERS,89.0,0.3391304347826087,0.23809523809523808,37
MIAMI HEAT,240,37,63,5,16,34,51,8,33,23,5,7,16,24,2004-11-17,away,win,113.0,MILWAUKEE BUCKS,106.0,0.37,0.23809523809523808,41
MILWAUKEE BUCKS,240,38,79,6,9,24,30,6,22,23,7,3,10,37,2004-11-17,home,loss,106.0,MIAMI HEAT,113.0,0.3247863247863248,0.4,28
SEATTLE SUPERSONICS,240,26,64,5,15,22,29,7,26,12,9,2,13,23,2004-11-17,away,win,79.0,NEW JERSEY NETS,68.0,0.28888888888888886,0.25,33
NEW JERSEY NETS,240,26,63,0,7,16,18,7,30,9,4,4,23,29,2004-11-17,home,loss,68.0,SEATTLE SUPERSONICS,79.0,0.29213483146067415,0.0,37
PHOENIX SUNS,240,37,70,6,14,15,24,8,25,22,7,7,11,10,2004-11-17,away,win,95.0,NEW ORLEANS HORNETS,84.0,0.34579439252336447,0.3,33
NEW ORLEANS HORNETS,240,40,91,2,15,2,2,22,25,27,3,5,13,17,2004-11-17,home,loss,84.0,PHOENIX SUNS,95.0,0.3053435114503817,0.11764705882352941,47
UTAH JAZZ,240,33,82,0,8,26,28,12,31,23,7,8,16,27,2004-11-17,away,loss,92.0,ORLANDO MAGIC,107.0,0.28695652173913044,0.0,43
ORLANDO MAGIC,240,39,79,4,9,25,34,12,32,20,6,9,14,19,2004-11-17,home,win,107.0,UTAH JAZZ,92.0,0.3305084745762712,0.3076923076923077,44
MEMPHIS GRIZZLIES,240,39,72,7,13,16,22,10,29,32,5,5,19,26,2004-11-17,away,win,101.0,PORTLAND TRAIL BLAZERS,82.0,0.35135135135135137,0.35,39
PORTLAND TRAIL BLAZERS,240,29,74,2,9,22,33,11,18,18,10,8,15,21,2004-11-17,home,loss,82.0,MEMPHIS GRIZZLIES,101.0,0.2815533980582524,0.18181818181818182,29
BOSTON CELTICS,265,35,87,5,14,30,36,14,29,20,7,8,14,28,2004-11-17,away,loss,105.0,WASHINGTON WIZARDS,110.0,0.28688524590163933,0.2631578947368421,43
WASHINGTON WIZARDS,265,34,91,6,18,36,43,21,29,23,11,8,17,32,2004-11-17,home,win,110.0,BOSTON CELTICS,105.0,0.272,0.25,50
