team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
GOLDEN STATE WARRIORS,240,34,81,5,14,18,24,10,27,20,7,3,11,20,away,loss,91.0,LOS ANGELES CLIPPERS,103.0
LOS ANGELES CLIPPERS,240,41,77,4,10,17,22,9,39,29,8,2,17,21,home,win,103.0,GOLDEN STATE WARRIORS,91.0
NEW ORLEANS HORNETS,240,27,80,3,9,19,22,14,26,15,7,6,14,24,away,loss,76.0,LOS ANGELES LAKERS,89.0
LOS ANGELES LAKERS,240,30,75,8,25,21,22,11,29,21,8,3,18,21,home,win,89.0,NEW ORLEANS HORNETS,76.0
BOSTON CELTICS,240,33,81,4,13,34,38,6,42,18,6,4,11,28,away,loss,104.0,MIAMI HEAT,106.0
MIAMI HEAT,240,39,86,7,19,21,31,9,38,24,6,9,9,29,home,win,106.0,BOSTON CELTICS,104.0
NEW JERSEY NETS,240,29,77,2,11,11,18,10,30,16,4,6,11,26,away,loss,71.0,PORTLAND TRAIL BLAZERS,83.0
PORTLAND TRAIL BLAZERS,240,28,79,4,14,23,31,16,35,14,7,7,12,22,home,win,83.0,NEW JERSEY NETS,71.0
MINNESOTA TIMBERWOLVES,240,44,90,9,15,24,28,12,39,22,5,12,14,27,away,win,121.0,SACRAMENTO KINGS,110.0
SACRAMENTO KINGS,240,41,89,5,11,23,32,9,28,24,7,5,8,22,home,loss,110.0,MINNESOTA TIMBERWOLVES,121.0
INDIANA PACERS,240,33,76,10,24,19,28,9,20,18,5,5,4,18,away,loss,95.0,SEATTLE SUPERSONICS,103.0
SEATTLE SUPERSONICS,240,36,73,11,22,20,24,10,30,24,2,6,11,24,home,win,103.0,INDIANA PACERS,95.0
WASHINGTON WIZARDS,265,43,87,5,17,23,30,9,33,26,5,4,13,15,away,win,114.0,TORONTO RAPTORS,109.0
TORONTO RAPTORS,265,47,94,7,20,8,13,7,33,26,6,3,15,28,home,loss,109.0,WASHINGTON WIZARDS,114.0
