team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
MEMPHIS GRIZZLIES,240,32,69,3,9,30,38,9,29,20,11,7,15,27,2004-12-08,away,win,97.0,ATLANTA HAWKS,89.0,0.31683168316831684,0.25,38
ATLANTA HAWKS,240,29,73,3,9,28,35,12,27,16,8,7,15,30,2004-12-08,home,loss,89.0,MEMPHIS GRIZZLIES,97.0,0.28431372549019607,0.25,39
CLEVELAND CAVALIERS,240,29,80,3,11,24,31,12,21,16,8,10,12,30,2004-12-08,away,loss,85.0,CHICAGO BULLS,113.0,0.26605504587155965,0.21428571428571427,33
CHICAGO BULLS,240,37,70,5,9,34,39,11,35,22,7,7,20,26,2004-12-08,home,win,113.0,CLEVELAND CAVALIERS,85.0,0.34579439252336447,0.35714285714285715,46
TORONTO RAPTORS,265,35,93,5,23,11,15,12,37,18,7,5,10,26,2004-12-08,away,loss,86.0,DETROIT PISTONS,90.0,0.2734375,0.17857142857142858,49
DETROIT PISTONS,265,31,82,1,12,27,34,13,43,19,3,10,12,18,2004-12-08,home,win,90.0,TORONTO RAPTORS,86.0,0.2743362831858407,0.07692307692307693,56
PHOENIX SUNS,240,41,87,16,34,15,18,11,30,30,10,5,12,16,2004-12-08,away,win,113.0,LOS ANGELES LAKERS,110.0,0.3203125,0.32,41
LOS ANGELES LAKERS,240,46,101,10,30,8,10,21,32,27,8,3,14,21,2004-12-08,home,loss,110.0,PHOENIX SUNS,113.0,0.3129251700680272,0.25,53
MIAMI HEAT,240,34,76,4,14,29,33,9,33,25,5,4,13,25,2004-12-08,away,win,101.0,MILWAUKEE BUCKS,96.0,0.3090909090909091,0.2222222222222222,42
MILWAUKEE BUCKS,240,35,79,4,11,22,28,11,27,22,5,1,10,29,2004-12-08,home,loss,96.0,MIAMI HEAT,101.0,0.30701754385964913,0.26666666666666666,38
NEW YORK KNICKS,240,32,74,6,17,16,20,11,35,23,5,6,17,23,2004-12-08,away,win,86.0,NEW ORLEANS HORNETS,79.0,0.3018867924528302,0.2608695652173913,46
NEW ORLEANS HORNETS,240,29,83,2,13,19,22,15,30,20,5,3,10,21,2004-12-08,home,loss,79.0,NEW YORK KNICKS,86.0,0.25892857142857145,0.13333333333333333,45
MINNESOTA TIMBERWOLVES,240,42,85,15,34,20,21,12,39,34,8,4,16,16,2004-12-08,away,win,119.0,PHILADELPHIA 76ERS,84.0,0.33070866141732286,0.30612244897959184,51
PHILADELPHIA 76ERS,240,32,84,4,25,16,17,12,25,21,10,2,14,21,2004-12-08,home,loss,84.0,MINNESOTA TIMBERWOLVES,119.0,0.27586206896551724,0.13793103448275862,37
SEATTLE SUPERSONICS,240,33,70,9,22,27,31,8,30,10,7,6,15,29,2004-12-08,away,win,102.0,SAN ANTONIO SPURS,96.0,0.32038834951456313,0.2903225806451613,38
SAN ANTONIO SPURS,240,33,80,5,16,25,33,13,24,16,5,9,13,29,2004-12-08,home,loss,96.0,SEATTLE SUPERSONICS,102.0,0.2920353982300885,0.23809523809523808,37
ORLANDO MAGIC,240,38,79,8,13,22,30,13,29,22,6,11,18,21,2004-12-08,away,win,106.0,UTAH JAZZ,100.0,0.3247863247863248,0.38095238095238093,42
UTAH JAZZ,240,41,89,1,5,17,23,15,27,23,8,3,15,30,2004-12-08,home,loss,100.0,ORLANDO MAGIC,106.0,0.3153846153846154,0.16666666666666666,42
DENVER NUGGETS,240,45,91,5,12,16,19,12,29,27,5,6,12,19,2004-12-08,away,win,111.0,WASHINGTON WIZARDS,105.0,0.33088235294117646,0.29411764705882354,41
WASHINGTON WIZARDS,240,42,90,7,19,14,19,14,30,19,5,7,12,23,2004-12-08,home,loss,105.0,DENVER NUGGETS,111.0,0.3181818181818182,0.2692307692307692,44
