team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SACRAMENTO KINGS,240,37,81,9,24,30,35,11,34,20,9,3,18,16,away,loss,113.0,DALLAS MAVERICKS,122.0
DALLAS MAVERICKS,240,50,107,10,22,12,17,23,29,30,11,7,14,21,home,win,122.0,SACRAMENTO KINGS,113.0
MINNESOTA TIMBERWOLVES,240,35,77,1,7,15,22,11,27,16,5,8,16,26,away,loss,86.0,LOS ANGELES CLIPPERS,92.0
LOS ANGELES CLIPPERS,240,35,80,0,2,22,31,16,27,26,7,5,11,15,home,win,92.0,MINNESOTA TIMBERWOLVES,86.0
PHILADELPHIA 76ERS,240,36,82,9,22,20,26,13,26,21,11,2,11,21,away,loss,101.0,NEW YORK KNICKS,113.0
NEW YORK KNICKS,240,42,81,8,14,21,27,10,31,29,6,4,14,19,home,win,113.0,PHILADELPHIA 76ERS,101.0
