team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MIAMI HEAT,240,32,72,3,14,29,39,10,28,17,2,5,10,30,away,loss,96.0,DETROIT PISTONS,106.0
DETROIT PISTONS,240,37,77,4,8,28,39,9,30,27,5,5,6,28,home,win,106.0,MIAMI HEAT,96.0
