team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,25,84,2,8,28,30,13,31,11,8,6,20,30
BOSTON CELTICS,240,32,73,2,8,30,39,9,40,15,8,7,20,27
DENVER NUGGETS,265,38,85,3,13,34,40,15,45,19,6,10,18,24
LOS ANGELES CLIPPERS,265,37,97,3,16,26,34,18,32,17,11,6,14,28
ORLANDO MAGIC,240,29,69,10,29,16,26,6,38,16,7,5,17,24
MEMPHIS GRIZZLIES,240,30,76,2,13,24,30,8,34,11,6,7,10,23
SACRAMENTO KINGS,240,29,76,2,19,17,20,10,32,10,7,2,25,23
MIAMI HEAT,240,38,81,8,17,19,32,13,29,21,15,8,14,18
NEW YORK KNICKS,240,32,98,7,28,16,21,16,27,19,13,1,10,15
PHILADELPHIA 76ERS,240,52,89,2,5,10,19,13,49,24,4,7,19,17
SAN ANTONIO SPURS,240,38,68,9,16,14,15,5,26,24,1,0,14,21
PORTLAND TRAIL BLAZERS,240,38,82,6,17,18,24,13,24,17,11,5,6,18
GOLDEN STATE WARRIORS,265,42,94,11,29,13,19,17,29,20,6,6,18,25
TORONTO RAPTORS,265,40,78,6,12,26,30,6,30,24,9,9,13,18
