team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,31,79,8,21,23,27,8,27,21,7,4,12,21
CLEVELAND CAVALIERS,240,37,82,5,15,28,33,11,35,17,9,5,12,20
DENVER NUGGETS,240,39,88,2,15,21,25,14,34,25,10,6,20,28
GOLDEN STATE WARRIORS,240,42,90,2,16,25,36,17,29,21,8,11,10,22
PHOENIX SUNS,240,43,77,5,16,22,29,8,35,30,14,9,16,23
INDIANA PACERS,240,37,83,9,25,20,27,8,28,16,8,3,15,23
LOS ANGELES CLIPPERS,240,35,90,8,23,10,15,12,32,20,8,6,16,32
LOS ANGELES LAKERS,240,33,85,8,22,32,45,15,39,14,12,9,12,17
PHILADELPHIA 76ERS,240,27,72,5,15,24,26,11,33,11,8,4,25,21
MIAMI HEAT,240,39,83,6,20,22,28,12,29,21,18,8,14,19
WASHINGTON WIZARDS,265,34,78,2,18,34,51,14,30,19,12,5,19,27
MILWAUKEE BUCKS,265,45,91,5,17,17,26,12,33,37,8,5,17,34
SAN ANTONIO SPURS,290,50,97,6,13,23,28,9,38,25,3,2,12,25
MINNESOTA TIMBERWOLVES,290,47,106,8,19,23,28,11,35,35,5,8,10,26
ATLANTA HAWKS,240,34,79,12,30,7,13,13,32,19,7,4,14,20
NEW ORLEANS HORNETS,240,30,71,7,20,12,15,8,27,24,9,5,14,18
CHARLOTTE BOBCATS,240,41,84,5,10,11,15,18,26,16,13,2,18,16
NEW YORK KNICKS,240,38,77,12,26,13,14,9,27,21,10,4,21,15
BOSTON CELTICS,240,36,83,7,17,17,23,12,37,25,10,5,12,19
OKLAHOMA CITY THUNDER,240,31,84,6,13,15,19,13,33,15,5,5,15,23
MEMPHIS GRIZZLIES,240,31,71,11,23,22,32,13,19,19,12,0,15,21
SACRAMENTO KINGS,240,39,74,6,10,16,23,9,27,24,8,2,17,22
DETROIT PISTONS,240,39,85,3,12,19,22,10,33,21,6,5,5,18
TORONTO RAPTORS,240,34,75,6,15,19,21,6,32,18,3,3,11,15
PORTLAND TRAIL BLAZERS,240,32,73,10,19,22,27,15,20,19,8,6,16,24
UTAH JAZZ,240,39,74,4,11,21,22,12,26,24,7,1,16,20
