team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,33,67,4,12,24,29,5,33,18,7,8,21,20
DETROIT PISTONS,240,40,91,6,13,14,16,14,27,23,11,8,14,21
NEW ORLEANS HORNETS,240,41,82,7,17,19,27,8,34,23,8,6,13,24
GOLDEN STATE WARRIORS,240,36,82,9,23,22,32,11,28,18,10,5,13,26
MEMPHIS GRIZZLIES,240,31,81,0,13,9,13,15,34,11,7,6,16,22
HOUSTON ROCKETS,240,28,76,5,16,21,25,11,33,10,9,2,12,15
LOS ANGELES LAKERS,240,41,80,10,19,25,33,14,37,28,7,3,16,19
LOS ANGELES CLIPPERS,240,30,78,5,22,14,23,10,22,24,9,5,18,29
SACRAMENTO KINGS,240,36,80,5,17,19,25,9,36,22,2,8,15,20
MINNESOTA TIMBERWOLVES,240,42,87,3,11,11,22,11,29,25,10,7,11,23
MIAMI HEAT,240,42,92,6,23,25,33,13,34,22,8,2,14,26
NEW YORK KNICKS,240,42,87,9,25,27,37,14,32,27,7,0,15,28
MILWAUKEE BUCKS,240,35,76,7,18,21,26,14,29,17,7,4,19,22
OKLAHOMA CITY THUNDER,240,32,73,1,6,22,31,13,22,16,9,3,19,23
ATLANTA HAWKS,240,38,86,5,20,18,31,18,35,17,10,7,14,23
ORLANDO MAGIC,240,32,87,4,25,17,27,17,28,10,9,11,15,28
TORONTO RAPTORS,240,36,81,10,16,13,17,10,23,24,8,5,9,23
PHILADELPHIA 76ERS,240,29,84,5,20,21,28,23,33,15,3,8,17,16
PHOENIX SUNS,240,39,79,6,15,19,27,9,30,24,5,5,10,20
SAN ANTONIO SPURS,240,40,80,5,15,13,19,7,31,18,4,3,7,24
DENVER NUGGETS,240,36,77,4,13,18,28,7,28,17,12,3,13,27
UTAH JAZZ,240,37,79,2,8,22,28,12,34,17,5,5,16,20
NEW JERSEY NETS,240,37,78,6,19,15,18,5,32,22,7,9,9,23
WASHINGTON WIZARDS,240,30,81,5,21,20,30,13,28,18,4,5,15,19
