team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,240,33,79,8,18,15,19,9,23,22,5,8,13,27
DENVER NUGGETS,240,33,72,3,11,28,39,12,31,23,8,10,12,23
TORONTO RAPTORS,240,36,80,7,19,18,24,10,38,26,11,9,13,17
LOS ANGELES CLIPPERS,240,25,76,7,18,18,23,9,29,17,6,3,17,21
LOS ANGELES LAKERS,240,40,74,6,15,19,27,9,28,24,9,6,13,18
MEMPHIS GRIZZLIES,240,35,77,9,21,17,20,12,24,22,7,5,16,24
HOUSTON ROCKETS,240,43,74,9,19,19,26,7,32,25,4,8,12,16
NEW JERSEY NETS,240,36,87,3,10,16,22,15,24,15,7,3,8,23
GOLDEN STATE WARRIORS,240,29,91,5,14,18,28,18,34,16,10,5,16,19
ORLANDO MAGIC,240,41,85,16,31,15,24,11,44,23,10,5,13,22
SACRAMENTO KINGS,240,31,78,5,15,18,22,11,27,16,14,4,16,17
SAN ANTONIO SPURS,240,37,71,7,15,20,24,7,35,22,6,2,15,17
