team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,31,79,4,16,15,19,11,23,14,6,2,10,21
CLEVELAND CAVALIERS,240,39,73,8,18,15,19,8,36,16,6,3,10,18
PHOENIX SUNS,240,40,81,6,21,30,39,14,21,21,7,4,14,19
DALLAS MAVERICKS,240,51,85,15,25,23,25,12,25,34,6,7,16,29
CHARLOTTE BOBCATS,240,33,81,6,20,25,33,15,23,14,3,2,11,25
DETROIT PISTONS,240,38,77,6,21,22,26,9,32,21,6,3,12,24
PORTLAND TRAIL BLAZERS,240,33,73,6,16,16,24,14,20,19,3,7,11,22
HOUSTON ROCKETS,240,37,72,6,15,22,27,12,30,20,5,3,8,22
LOS ANGELES CLIPPERS,240,30,81,5,21,20,27,16,30,15,5,2,15,26
LOS ANGELES LAKERS,240,33,78,5,20,17,29,9,29,21,7,3,10,24
DENVER NUGGETS,240,40,75,10,21,20,31,8,40,23,8,4,12,19
MINNESOTA TIMBERWOLVES,240,36,87,6,22,9,11,6,31,18,6,2,10,22
PHILADELPHIA 76ERS,240,27,77,4,19,9,23,14,31,15,7,6,14,19
NEW JERSEY NETS,240,36,82,11,25,13,15,11,33,21,7,6,11,21
UTAH JAZZ,240,45,84,3,11,15,21,11,28,27,12,0,10,17
NEW ORLEANS HORNETS,240,38,71,5,14,13,21,9,27,22,7,4,17,20
INDIANA PACERS,240,44,88,8,20,21,25,7,39,17,9,3,15,18
OKLAHOMA CITY THUNDER,240,40,91,1,8,18,26,12,32,22,11,5,14,19
GOLDEN STATE WARRIORS,240,34,91,9,20,28,32,15,34,15,9,7,12,23
SACRAMENTO KINGS,240,36,85,7,18,21,32,11,34,16,5,12,16,28
NEW YORK KNICKS,240,45,89,13,26,9,11,12,32,24,3,3,12,18
TORONTO RAPTORS,240,43,97,4,13,13,15,15,30,20,9,7,12,14
