team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,32,77,2,9,12,21,14,30,15,6,3,15,20
BOSTON CELTICS,240,39,76,6,14,18,22,6,33,30,9,6,10,14
GOLDEN STATE WARRIORS,240,33,83,4,16,27,33,11,31,13,10,9,14,19
CLEVELAND CAVALIERS,240,43,92,9,25,17,23,16,36,22,9,5,13,22
MILWAUKEE BUCKS,240,34,84,4,15,25,32,16,31,17,3,5,14,25
DETROIT PISTONS,240,36,75,8,16,27,39,9,32,22,7,10,14,20
CHARLOTTE BOBCATS,265,37,91,9,21,32,41,11,39,17,10,5,12,24
INDIANA PACERS,265,40,96,11,28,17,22,13,42,24,2,5,18,30
DALLAS MAVERICKS,240,43,84,13,29,8,9,8,28,32,9,4,14,16
LOS ANGELES LAKERS,240,47,96,6,20,14,15,17,28,23,8,9,10,8
MINNESOTA TIMBERWOLVES,240,37,79,8,14,23,30,13,30,22,1,4,15,25
OKLAHOMA CITY THUNDER,240,39,78,7,16,18,27,7,26,23,6,2,10,26
MIAMI HEAT,240,41,83,7,17,18,22,9,29,22,12,4,8,17
PHOENIX SUNS,240,39,80,8,22,6,11,12,31,20,7,6,19,19
NEW ORLEANS HORNETS,240,35,79,8,16,8,10,8,24,15,6,2,10,25
PORTLAND TRAIL BLAZERS,240,37,69,8,23,19,25,9,29,25,5,7,12,18
MEMPHIS GRIZZLIES,240,42,77,4,11,10,12,7,24,14,6,3,13,22
SAN ANTONIO SPURS,240,43,76,9,16,14,21,9,28,31,5,1,12,15
ATLANTA HAWKS,240,35,83,8,26,10,11,13,31,23,4,6,15,16
TORONTO RAPTORS,240,40,87,4,15,9,10,10,31,26,4,7,9,17
SACRAMENTO KINGS,240,40,82,5,16,9,12,7,30,26,4,6,18,28
UTAH JAZZ,240,44,83,10,17,22,34,12,33,30,11,3,10,18
