team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
OKLAHOMA CITY THUNDER,240,34,91,5,12,15,21,19,33,22,3,1,12,18
ATLANTA HAWKS,240,37,79,7,19,18,26,11,29,27,8,5,9,16
PHILADELPHIA 76ERS,240,37,77,0,11,17,27,8,30,25,8,7,20,28
BOSTON CELTICS,240,37,81,7,14,29,34,13,27,27,10,5,15,26
WASHINGTON WIZARDS,240,28,87,5,18,11,12,12,29,9,8,4,8,20
CHARLOTTE BOBCATS,240,30,72,3,13,17,28,12,40,21,2,8,18,16
HOUSTON ROCKETS,240,31,72,10,24,18,21,6,26,20,8,2,16,21
CLEVELAND CAVALIERS,240,38,78,8,22,15,17,9,32,16,8,5,14,18
MEMPHIS GRIZZLIES,240,31,81,4,13,16,22,10,28,14,9,2,10,18
DALLAS MAVERICKS,240,41,82,7,19,11,14,11,38,28,7,8,15,17
CHICAGO BULLS,240,36,76,6,19,20,24,11,35,23,6,4,16,28
DETROIT PISTONS,240,36,85,5,13,27,36,16,28,26,10,4,9,17
NEW JERSEY NETS,240,36,75,8,17,28,33,8,31,18,9,5,14,14
INDIANA PACERS,240,43,87,11,18,10,13,10,27,31,7,7,10,24
GOLDEN STATE WARRIORS,240,33,89,5,15,17,19,16,25,14,12,3,16,22
MIAMI HEAT,240,38,74,6,15,14,25,9,39,20,6,7,19,20
UTAH JAZZ,240,30,79,3,14,23,27,13,36,18,6,6,23,31
MILWAUKEE BUCKS,240,33,85,1,16,27,33,15,28,22,12,2,11,25
LOS ANGELES LAKERS,240,33,75,6,15,28,32,11,28,17,7,6,11,21
NEW ORLEANS HORNETS,240,32,77,9,28,14,22,13,25,22,10,6,15,27
DENVER NUGGETS,240,30,70,6,19,26,32,13,23,15,11,2,15,22
PORTLAND TRAIL BLAZERS,240,34,74,9,28,24,27,13,28,18,9,4,15,21
MINNESOTA TIMBERWOLVES,240,32,75,4,15,25,32,6,32,10,5,2,11,24
SAN ANTONIO SPURS,240,38,78,5,13,18,24,5,30,19,6,7,8,20
