team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
INDIANA PACERS,240,40,82,7,21,18,19,8,29,19,5,5,9,18,away,win,105.0,ATLANTA HAWKS,95.0
ATLANTA HAWKS,240,35,81,8,29,17,20,11,32,27,5,6,13,17,home,loss,95.0,INDIANA PACERS,105.0
MIAMI HEAT,240,33,75,10,28,14,25,6,40,23,6,3,12,16,away,win,90.0,BOSTON CELTICS,89.0
BOSTON CELTICS,240,30,80,13,32,16,21,5,39,18,5,5,10,22,home,loss,89.0,MIAMI HEAT,90.0
SACRAMENTO KINGS,240,40,82,7,19,17,20,13,35,14,4,4,12,19,away,win,104.0,BROOKLYN NETS,99.0
BROOKLYN NETS,240,32,82,15,42,20,23,14,24,15,5,7,10,19,home,loss,99.0,SACRAMENTO KINGS,104.0
ORLANDO MAGIC,240,35,89,5,27,19,23,6,29,23,5,1,9,15,away,loss,94.0,CHICAGO BULLS,112.0
CHICAGO BULLS,240,44,87,11,32,13,14,9,42,31,6,8,11,23,home,win,112.0,ORLANDO MAGIC,94.0
TORONTO RAPTORS,240,49,91,16,33,15,18,10,33,35,6,7,14,27,away,win,129.0,CHARLOTTE HORNETS,111.0
CHARLOTTE HORNETS,240,39,85,7,23,26,35,8,31,21,10,6,12,18,home,loss,111.0,TORONTO RAPTORS,129.0
DETROIT PISTONS,240,33,77,7,24,20,22,6,32,19,4,2,12,19,away,loss,93.0,DALLAS MAVERICKS,110.0
DALLAS MAVERICKS,240,40,75,14,30,16,20,4,33,22,6,7,12,17,home,win,110.0,DETROIT PISTONS,93.0
MINNESOTA TIMBERWOLVES,240,43,87,8,24,18,19,8,29,28,12,2,8,20,away,win,112.0,DENVER NUGGETS,104.0
DENVER NUGGETS,240,36,72,13,28,19,24,8,34,27,6,5,21,18,home,loss,104.0,MINNESOTA TIMBERWOLVES,112.0
MEMPHIS GRIZZLIES,240,28,84,12,31,16,19,15,26,20,10,6,16,23,away,loss,84.0,GOLDEN STATE WARRIORS,97.0
GOLDEN STATE WARRIORS,240,34,74,7,21,22,25,14,30,26,9,8,16,19,home,win,97.0,MEMPHIS GRIZZLIES,84.0
LOS ANGELES LAKERS,240,40,85,15,35,27,43,10,37,27,8,5,10,25,away,win,122.0,HOUSTON ROCKETS,116.0
HOUSTON ROCKETS,240,37,90,17,42,25,32,12,35,19,7,5,14,30,home,loss,116.0,LOS ANGELES LAKERS,122.0
PHOENIX SUNS,240,35,97,8,35,17,19,14,36,22,3,3,10,25,away,loss,95.0,LOS ANGELES CLIPPERS,108.0
LOS ANGELES CLIPPERS,240,41,87,10,30,16,24,9,41,22,1,4,9,19,home,win,108.0,PHOENIX SUNS,95.0
UTAH JAZZ,240,26,73,7,31,20,27,11,28,13,6,3,18,15,away,loss,79.0,OKLAHOMA CITY THUNDER,107.0
OKLAHOMA CITY THUNDER,240,40,77,8,23,19,22,8,34,23,15,5,13,26,home,win,107.0,UTAH JAZZ,79.0
SAN ANTONIO SPURS,240,41,79,6,17,5,6,9,44,17,7,9,23,16,away,win,93.0,PORTLAND TRAIL BLAZERS,91.0
PORTLAND TRAIL BLAZERS,240,38,96,6,25,9,14,12,25,18,13,2,8,14,home,loss,91.0,SAN ANTONIO SPURS,93.0
