team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
DALLAS MAVERICKS,240,43,85,9,33,12,15,7,23,31,8,3,10,17,2017-12-23,away,loss,107.0,ATLANTA HAWKS,112.0,0.3359375,0.21428571428571427,30
ATLANTA HAWKS,240,42,75,10,24,18,22,6,32,29,5,2,15,19,2017-12-23,home,win,112.0,DALLAS MAVERICKS,107.0,0.358974358974359,0.29411764705882354,38
CHICAGO BULLS,240,34,86,7,19,17,25,12,39,24,4,2,15,16,2017-12-23,away,loss,92.0,BOSTON CELTICS,117.0,0.2833333333333333,0.2692307692307692,51
BOSTON CELTICS,240,44,92,12,32,17,21,8,38,29,9,5,5,18,2017-12-23,home,win,117.0,CHICAGO BULLS,92.0,0.3235294117647059,0.2727272727272727,46
MILWAUKEE BUCKS,240,42,87,8,26,14,17,7,28,25,4,2,9,32,2017-12-23,away,loss,106.0,CHARLOTTE HORNETS,111.0,0.32558139534883723,0.23529411764705882,35
CHARLOTTE HORNETS,240,36,74,9,21,30,40,9,34,22,2,7,16,20,2017-12-23,home,win,111.0,MILWAUKEE BUCKS,106.0,0.32727272727272727,0.3,43
DENVER NUGGETS,240,38,82,7,28,13,15,10,35,25,10,4,18,14,2017-12-23,away,win,96.0,GOLDEN STATE WARRIORS,81.0,0.31666666666666665,0.2,45
GOLDEN STATE WARRIORS,240,32,84,3,27,14,17,11,27,25,14,8,16,14,2017-12-23,home,loss,81.0,DENVER NUGGETS,96.0,0.27586206896551724,0.1,38
BROOKLYN NETS,265,42,98,16,36,19,25,18,33,24,2,2,10,20,2017-12-23,away,loss,119.0,INDIANA PACERS,123.0,0.3,0.3076923076923077,51
INDIANA PACERS,265,47,90,10,23,19,24,7,34,31,8,9,8,25,2017-12-23,home,win,123.0,BROOKLYN NETS,119.0,0.34306569343065696,0.30303030303030304,41
PORTLAND TRAIL BLAZERS,240,39,95,10,25,7,14,9,38,19,7,8,11,15,2017-12-23,away,win,95.0,LOS ANGELES LAKERS,92.0,0.291044776119403,0.2857142857142857,47
LOS ANGELES LAKERS,240,36,85,8,25,12,20,11,44,23,8,3,17,22,2017-12-23,home,loss,92.0,PORTLAND TRAIL BLAZERS,95.0,0.2975206611570248,0.24242424242424243,55
LOS ANGELES CLIPPERS,240,39,79,13,34,21,28,5,31,14,4,7,10,22,2017-12-23,away,loss,112.0,MEMPHIS GRIZZLIES,115.0,0.3305084745762712,0.2765957446808511,36
MEMPHIS GRIZZLIES,240,40,90,13,31,22,25,15,32,28,5,5,9,26,2017-12-23,home,win,115.0,LOS ANGELES CLIPPERS,112.0,0.3076923076923077,0.29545454545454547,47
NEW ORLEANS PELICANS,240,39,73,15,25,16,19,6,31,27,5,10,14,20,2017-12-23,away,win,109.0,MIAMI HEAT,94.0,0.3482142857142857,0.375,37
MIAMI HEAT,240,36,85,10,32,12,15,13,25,18,4,3,13,19,2017-12-23,home,loss,94.0,NEW ORLEANS PELICANS,109.0,0.2975206611570248,0.23809523809523808,38
MINNESOTA TIMBERWOLVES,240,42,84,6,16,25,29,13,34,18,6,6,14,21,2017-12-23,away,win,115.0,PHOENIX SUNS,106.0,0.3333333333333333,0.2727272727272727,47
PHOENIX SUNS,240,40,86,11,32,15,24,9,27,24,5,4,13,22,2017-12-23,home,loss,106.0,MINNESOTA TIMBERWOLVES,115.0,0.31746031746031744,0.2558139534883721,36
SAN ANTONIO SPURS,240,44,88,11,23,9,11,7,37,29,3,1,8,11,2017-12-23,away,win,108.0,SACRAMENTO KINGS,99.0,0.3333333333333333,0.3235294117647059,44
SACRAMENTO KINGS,240,40,86,12,22,7,11,9,33,21,2,2,10,17,2017-12-23,home,loss,99.0,SAN ANTONIO SPURS,108.0,0.31746031746031744,0.35294117647058826,42
PHILADELPHIA 76ERS,240,33,80,7,27,13,20,7,34,19,10,7,22,23,2017-12-23,away,loss,86.0,TORONTO RAPTORS,102.0,0.2920353982300885,0.20588235294117646,41
TORONTO RAPTORS,240,35,85,9,27,23,26,7,36,18,15,6,17,20,2017-12-23,home,win,102.0,PHILADELPHIA 76ERS,86.0,0.2916666666666667,0.25,43
OKLAHOMA CITY THUNDER,240,39,88,12,29,13,16,15,30,18,9,5,7,16,2017-12-23,away,win,103.0,UTAH JAZZ,89.0,0.30708661417322836,0.2926829268292683,45
UTAH JAZZ,240,33,72,6,26,17,20,6,31,16,3,2,12,13,2017-12-23,home,loss,89.0,OKLAHOMA CITY THUNDER,103.0,0.3142857142857143,0.1875,37
ORLANDO MAGIC,240,42,87,8,26,11,17,4,24,17,7,3,12,22,2017-12-23,away,loss,103.0,WASHINGTON WIZARDS,130.0,0.32558139534883723,0.23529411764705882,28
WASHINGTON WIZARDS,240,47,86,16,30,20,23,12,37,29,5,2,16,18,2017-12-23,home,win,130.0,ORLANDO MAGIC,103.0,0.3533834586466165,0.34782608695652173,49
