team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
TORONTO RAPTORS,240,46,84,13,32,7,9,11,35,31,10,3,16,22,2017-11-25,away,win,112.0,ATLANTA HAWKS,78.0,0.35384615384615387,0.28888888888888886,46
ATLANTA HAWKS,240,26,75,6,27,20,23,7,25,18,9,1,18,15,2017-11-25,home,loss,78.0,TORONTO RAPTORS,112.0,0.25742574257425743,0.18181818181818182,32
SAN ANTONIO SPURS,240,39,81,6,25,22,25,8,37,22,8,7,11,19,2017-11-25,away,win,106.0,CHARLOTTE HORNETS,86.0,0.325,0.1935483870967742,45
CHARLOTTE HORNETS,240,31,84,4,25,20,26,14,28,20,7,4,14,19,2017-11-25,home,loss,86.0,SAN ANTONIO SPURS,106.0,0.26956521739130435,0.13793103448275862,42
OKLAHOMA CITY THUNDER,240,29,80,13,35,10,13,8,31,24,12,1,17,15,2017-11-25,away,loss,81.0,DALLAS MAVERICKS,97.0,0.26605504587155965,0.2708333333333333,39
DALLAS MAVERICKS,240,37,75,15,35,8,11,8,35,25,11,5,17,18,2017-11-25,home,win,97.0,OKLAHOMA CITY THUNDER,81.0,0.33035714285714285,0.3,43
NEW ORLEANS PELICANS,240,34,84,11,31,16,23,9,36,24,2,9,17,24,2017-11-25,away,loss,95.0,GOLDEN STATE WARRIORS,110.0,0.288135593220339,0.2619047619047619,45
GOLDEN STATE WARRIORS,240,39,94,10,33,22,27,11,33,30,11,6,9,24,2017-11-25,home,win,110.0,NEW ORLEANS PELICANS,95.0,0.2932330827067669,0.23255813953488372,44
NEW YORK KNICKS,240,42,85,4,17,14,19,6,34,29,4,3,18,20,2017-11-25,away,loss,102.0,HOUSTON ROCKETS,117.0,0.33070866141732286,0.19047619047619047,40
HOUSTON ROCKETS,240,41,94,18,47,17,22,9,33,30,12,6,7,15,2017-11-25,home,win,117.0,NEW YORK KNICKS,102.0,0.3037037037037037,0.27692307692307694,42
BOSTON CELTICS,240,45,80,10,25,8,9,4,26,22,8,4,14,13,2017-11-25,away,win,108.0,INDIANA PACERS,98.0,0.36,0.2857142857142857,30
INDIANA PACERS,240,38,78,7,23,15,15,10,26,20,9,2,18,14,2017-11-25,home,loss,98.0,BOSTON CELTICS,108.0,0.3275862068965517,0.23333333333333334,36
ORLANDO MAGIC,240,39,86,12,31,21,31,7,34,22,8,5,9,17,2017-11-25,away,loss,111.0,PHILADELPHIA 76ERS,130.0,0.312,0.27906976744186046,41
PHILADELPHIA 76ERS,240,48,95,16,34,18,20,11,42,35,7,2,11,22,2017-11-25,home,win,130.0,ORLANDO MAGIC,111.0,0.3356643356643357,0.32,53
LOS ANGELES CLIPPERS,240,38,80,9,28,12,13,6,31,23,11,5,16,13,2017-11-25,away,win,97.0,SACRAMENTO KINGS,95.0,0.3220338983050847,0.24324324324324326,37
SACRAMENTO KINGS,240,38,83,11,21,8,9,8,29,19,9,8,18,17,2017-11-25,home,loss,95.0,LOS ANGELES CLIPPERS,97.0,0.3140495867768595,0.34375,37
MILWAUKEE BUCKS,240,41,77,8,21,18,23,8,32,19,5,6,16,21,2017-11-25,away,loss,108.0,UTAH JAZZ,121.0,0.3474576271186441,0.27586206896551724,40
UTAH JAZZ,240,46,81,18,32,11,19,5,25,31,8,2,10,19,2017-11-25,home,win,121.0,MILWAUKEE BUCKS,108.0,0.36220472440944884,0.36,30
PORTLAND TRAIL BLAZERS,240,41,80,9,24,17,22,6,35,18,3,6,16,16,2017-11-25,away,win,108.0,WASHINGTON WIZARDS,105.0,0.33884297520661155,0.2727272727272727,41
WASHINGTON WIZARDS,240,41,89,8,23,15,16,7,30,20,9,4,11,17,2017-11-25,home,loss,105.0,PORTLAND TRAIL BLAZERS,108.0,0.3153846153846154,0.25806451612903225,37
