team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
PHOENIX SUNS,240,38,87,11,30,17,23,13,44,25,4,4,15,12,2017-11-28,away,win,104.0,CHICAGO BULLS,99.0,0.304,0.2682926829268293,57
CHICAGO BULLS,240,38,94,16,40,7,10,9,32,27,11,7,9,20,2017-11-28,home,loss,99.0,PHOENIX SUNS,104.0,0.2878787878787879,0.2857142857142857,41
MIAMI HEAT,240,37,84,10,31,13,20,8,34,24,7,5,15,19,2017-11-28,away,loss,97.0,CLEVELAND CAVALIERS,108.0,0.30578512396694213,0.24390243902439024,42
CLEVELAND CAVALIERS,240,40,81,11,33,17,23,5,40,21,12,2,13,17,2017-11-28,home,win,108.0,MIAMI HEAT,97.0,0.3305785123966942,0.25,45
WASHINGTON WIZARDS,240,36,83,10,28,10,17,9,35,23,5,4,7,16,2017-11-28,away,win,92.0,MINNESOTA TIMBERWOLVES,89.0,0.3025210084033613,0.2631578947368421,44
MINNESOTA TIMBERWOLVES,240,35,85,10,30,9,14,13,36,27,3,1,10,17,2017-11-28,home,loss,89.0,WASHINGTON WIZARDS,92.0,0.2916666666666667,0.25,49
MILWAUKEE BUCKS,240,42,71,9,22,19,31,1,37,27,13,5,12,22,2017-11-28,away,win,112.0,SACRAMENTO KINGS,87.0,0.37168141592920356,0.2903225806451613,38
SACRAMENTO KINGS,240,31,77,5,17,20,29,9,31,15,5,2,16,21,2017-11-28,home,loss,87.0,MILWAUKEE BUCKS,112.0,0.28703703703703703,0.22727272727272727,40
DENVER NUGGETS,240,28,78,7,34,14,16,12,30,13,6,4,17,13,2017-11-28,away,loss,77.0,UTAH JAZZ,106.0,0.2641509433962264,0.17073170731707318,42
UTAH JAZZ,240,42,87,14,32,8,9,9,34,24,7,6,11,20,2017-11-28,home,win,106.0,DENVER NUGGETS,77.0,0.32558139534883723,0.30434782608695654,43
