team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
OKLAHOMA CITY THUNDER,240,39,88,13,34,10,14,11,41,28,16,8,11,17,2017-10-28,away,win,101.0,CHICAGO BULLS,69.0,0.30708661417322836,0.2765957446808511,52
CHICAGO BULLS,240,22,78,10,37,15,20,12,35,16,9,5,19,16,2017-10-28,home,loss,69.0,OKLAHOMA CITY THUNDER,101.0,0.22,0.2127659574468085,47
PHILADELPHIA 76ERS,240,43,87,16,35,10,14,11,31,25,10,1,13,21,2017-10-28,away,win,112.0,DALLAS MAVERICKS,110.0,0.33076923076923076,0.3137254901960784,42
DALLAS MAVERICKS,240,38,74,19,40,15,19,3,30,22,7,2,17,15,2017-10-28,home,loss,110.0,PHILADELPHIA 76ERS,112.0,0.3392857142857143,0.3220338983050847,33
DETROIT PISTONS,240,36,88,9,28,14,21,12,38,16,11,6,12,20,2017-10-28,away,win,95.0,LOS ANGELES CLIPPERS,87.0,0.2903225806451613,0.24324324324324326,50
LOS ANGELES CLIPPERS,240,28,84,15,38,16,22,15,36,19,6,6,18,18,2017-10-28,home,loss,87.0,DETROIT PISTONS,95.0,0.25,0.2830188679245283,51
HOUSTON ROCKETS,240,29,77,14,38,17,21,8,35,18,4,3,17,23,2017-10-28,away,loss,89.0,MEMPHIS GRIZZLIES,103.0,0.27358490566037735,0.2692307692307692,43
MEMPHIS GRIZZLIES,240,40,85,14,33,9,12,6,36,26,10,6,9,20,2017-10-28,home,win,103.0,HOUSTON ROCKETS,89.0,0.32,0.2978723404255319,42
BOSTON CELTICS,240,34,81,6,23,22,26,11,30,15,11,5,12,14,2017-10-28,away,win,96.0,MIAMI HEAT,90.0,0.2956521739130435,0.20689655172413793,41
MIAMI HEAT,240,34,79,7,31,15,16,6,34,17,6,9,19,23,2017-10-28,home,loss,90.0,BOSTON CELTICS,96.0,0.3008849557522124,0.18421052631578946,40
CLEVELAND CAVALIERS,240,36,78,12,32,17,23,5,32,19,8,2,18,19,2017-10-28,away,loss,101.0,NEW ORLEANS PELICANS,123.0,0.3157894736842105,0.2727272727272727,37
NEW ORLEANS PELICANS,240,49,95,13,33,12,16,10,37,33,10,4,11,20,2017-10-28,home,win,123.0,CLEVELAND CAVALIERS,101.0,0.3402777777777778,0.2826086956521739,47
PHOENIX SUNS,240,37,87,9,26,24,30,12,34,21,12,7,17,23,2017-10-28,away,loss,107.0,PORTLAND TRAIL BLAZERS,114.0,0.29838709677419356,0.2571428571428571,46
PORTLAND TRAIL BLAZERS,240,40,91,11,26,23,28,12,41,27,8,7,14,26,2017-10-28,home,win,114.0,PHOENIX SUNS,107.0,0.3053435114503817,0.2972972972972973,53
LOS ANGELES LAKERS,240,31,81,5,22,14,20,14,25,17,12,4,16,20,2017-10-28,away,loss,81.0,UTAH JAZZ,96.0,0.2767857142857143,0.18518518518518517,39
UTAH JAZZ,240,37,79,13,31,9,13,14,35,18,9,5,21,20,2017-10-28,home,win,96.0,LOS ANGELES LAKERS,81.0,0.31896551724137934,0.29545454545454547,49
