team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
INDIANA PACERS,240,39,81,6,21,8,12,8,30,22,10,2,10,14,away,win,92.0,GOLDEN STATE WARRIORS,81.0
GOLDEN STATE WARRIORS,240,35,86,5,17,6,9,17,34,21,4,9,16,17,home,loss,81.0,INDIANA PACERS,92.0
CHICAGO BULLS,240,34,89,8,37,10,17,13,38,17,8,1,18,17,away,loss,86.0,HOUSTON ROCKETS,118.0
HOUSTON ROCKETS,240,41,93,18,57,18,21,9,37,28,15,6,10,12,home,win,118.0,CHICAGO BULLS,86.0
MILWAUKEE BUCKS,240,38,83,6,23,16,23,8,36,24,12,11,16,14,away,loss,98.0,LOS ANGELES CLIPPERS,105.0
LOS ANGELES CLIPPERS,240,40,86,15,28,10,18,8,33,23,8,4,13,23,home,win,105.0,MILWAUKEE BUCKS,98.0
CLEVELAND CAVALIERS,240,31,85,4,26,13,19,12,30,15,8,1,14,18,away,loss,79.0,MIAMI HEAT,98.0
MIAMI HEAT,240,37,78,9,29,15,20,9,35,24,10,9,14,18,home,win,98.0,CLEVELAND CAVALIERS,79.0
PORTLAND TRAIL BLAZERS,240,44,105,10,32,9,10,17,30,20,11,7,10,17,away,win,107.0,NEW ORLEANS PELICANS,103.0
NEW ORLEANS PELICANS,240,43,94,4,24,13,14,11,43,28,3,10,16,19,home,loss,103.0,PORTLAND TRAIL BLAZERS,107.0
DALLAS MAVERICKS,240,36,80,14,40,17,25,4,39,25,7,9,10,17,away,win,103.0,SACRAMENTO KINGS,97.0
SACRAMENTO KINGS,240,38,93,6,23,15,19,10,35,25,6,6,10,22,home,loss,97.0,DALLAS MAVERICKS,103.0
DENVER NUGGETS,240,42,89,13,30,13,14,10,30,26,6,6,11,16,away,loss,110.0,TORONTO RAPTORS,114.0
TORONTO RAPTORS,240,47,92,13,34,7,9,9,28,33,6,16,9,18,home,win,114.0,DENVER NUGGETS,110.0
SAN ANTONIO SPURS,240,39,87,10,25,18,33,10,27,29,7,5,8,17,away,loss,106.0,WASHINGTON WIZARDS,116.0
WASHINGTON WIZARDS,240,46,85,10,24,14,18,10,40,33,5,7,16,27,home,win,116.0,SAN ANTONIO SPURS,106.0
