team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MEMPHIS GRIZZLIES,240,30,78,4,18,15,21,9,29,13,4,7,19,24,away,loss,79.0,CHARLOTTE HORNETS,140.0
CHARLOTTE HORNETS,240,49,92,19,40,23,27,11,42,25,10,4,8,17,home,win,140.0,MEMPHIS GRIZZLIES,79.0
UTAH JAZZ,240,46,87,12,29,15,16,8,31,32,11,6,11,19,away,win,119.0,DALLAS MAVERICKS,112.0
DALLAS MAVERICKS,240,42,85,17,32,11,14,8,27,22,5,7,14,16,home,loss,112.0,UTAH JAZZ,119.0
DETROIT PISTONS,265,40,95,6,38,10,19,16,50,22,9,5,15,17,away,loss,96.0,HOUSTON ROCKETS,100.0
HOUSTON ROCKETS,265,35,99,12,51,18,28,12,40,19,9,3,12,19,home,win,100.0,DETROIT PISTONS,96.0
LOS ANGELES LAKERS,240,43,87,17,39,22,28,7,33,19,4,3,16,20,away,loss,125.0,NEW ORLEANS PELICANS,128.0
NEW ORLEANS PELICANS,240,52,95,6,24,18,22,8,34,28,13,4,9,19,home,win,128.0,LOS ANGELES LAKERS,125.0
PHILADELPHIA 76ERS,240,42,89,15,37,19,24,11,45,30,7,5,16,15,away,win,118.0,ORLANDO MAGIC,98.0
ORLANDO MAGIC,240,37,91,10,33,14,22,7,33,26,10,3,10,19,home,loss,98.0,PHILADELPHIA 76ERS,118.0
ATLANTA HAWKS,240,33,84,12,36,12,18,6,34,19,7,2,12,10,away,loss,90.0,SACRAMENTO KINGS,105.0
SACRAMENTO KINGS,240,43,93,10,21,9,9,12,39,28,8,9,13,18,home,win,105.0,ATLANTA HAWKS,90.0
