team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
BOSTON CELTICS,240,39,81,14,36,18,22,7,35,28,3,3,13,21,away,win,110.0,ATLANTA HAWKS,107.0
ATLANTA HAWKS,240,39,81,13,26,16,20,5,31,24,8,4,14,22,home,loss,107.0,BOSTON CELTICS,110.0
MIAMI HEAT,240,30,83,8,26,12,17,7,37,19,10,6,20,20,away,loss,80.0,GOLDEN STATE WARRIORS,97.0
GOLDEN STATE WARRIORS,240,32,87,11,32,22,24,13,38,20,12,10,14,21,home,win,97.0,MIAMI HEAT,80.0
BROOKLYN NETS,240,35,87,8,32,20,29,11,37,20,10,4,16,30,away,win,98.0,PHOENIX SUNS,92.0
PHOENIX SUNS,240,30,86,6,25,26,35,14,38,13,8,7,17,29,home,loss,92.0,BROOKLYN NETS,98.0
