team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,28,71,1,9,26,32,11,19,13,10,3,14,18
ATLANTA HAWKS,240,33,68,7,14,20,27,8,31,25,7,5,19,22
CHARLOTTE BOBCATS,240,40,81,7,18,18,24,12,31,27,6,7,16,24
DENVER NUGGETS,240,37,80,4,17,23,29,9,27,26,5,9,11,22
PHILADELPHIA 76ERS,240,34,88,2,11,14,18,13,26,17,6,3,14,15
HOUSTON ROCKETS,240,40,79,11,33,14,16,9,39,31,7,6,17,19
SACRAMENTO KINGS,240,44,93,10,18,19,23,6,19,26,12,1,9,28
MEMPHIS GRIZZLIES,240,41,70,8,21,34,43,8,39,25,2,10,20,21
PHOENIX SUNS,240,37,74,15,36,23,25,7,19,25,4,4,13,17
MINNESOTA TIMBERWOLVES,240,49,83,5,12,18,21,9,25,24,6,2,8,20
PORTLAND TRAIL BLAZERS,240,34,81,10,24,13,21,17,25,17,5,6,9,22
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,38,78,5,10,22,27,13,33,20,5,5,8,17
NEW JERSEY NETS,240,38,71,10,19,30,37,5,16,24,11,3,9,26
UTAH JAZZ,240,37,72,6,14,35,40,16,28,21,4,3,20,27
