team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,39,72,5,10,21,27,6,29,21,6,11,16,21
ATLANTA HAWKS,240,31,77,3,10,24,31,16,24,20,8,5,13,21
MIAMI HEAT,240,39,95,8,25,11,16,14,28,20,4,4,7,29
CHICAGO BULLS,240,32,76,5,20,31,44,14,37,18,5,7,13,18
SACRAMENTO KINGS,240,39,74,6,13,20,27,5,28,20,9,2,12,22
DALLAS MAVERICKS,240,40,76,6,15,20,24,9,31,21,6,6,15,22
NEW JERSEY NETS,240,39,84,10,25,24,37,10,35,22,10,3,9,22
DENVER NUGGETS,240,34,77,6,23,28,35,4,34,21,3,5,14,23
CHARLOTTE BOBCATS,240,37,83,3,15,28,41,19,26,20,10,5,22,29
GOLDEN STATE WARRIORS,240,44,79,10,17,33,44,10,32,31,16,9,15,25
TORONTO RAPTORS,240,30,71,4,15,20,28,6,30,18,7,1,13,21
INDIANA PACERS,240,39,80,11,22,13,15,10,35,23,8,3,13,25
MINNESOTA TIMBERWOLVES,240,33,75,6,17,29,34,12,24,19,11,2,14,29
LOS ANGELES CLIPPERS,240,27,63,2,8,31,37,13,30,12,6,7,26,29
PORTLAND TRAIL BLAZERS,290,51,105,8,15,25,33,16,33,27,14,1,14,34
MEMPHIS GRIZZLIES,290,47,89,11,24,27,39,13,37,23,5,9,20,33
UTAH JAZZ,240,30,80,1,14,22,31,17,29,16,9,6,12,24
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,32,68,5,12,25,29,8,32,17,5,11,15,24
