team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,35,79,6,17,17,21,10,32,17,4,3,16,22
ATLANTA HAWKS,240,39,80,6,17,13,21,8,34,17,7,5,15,25
NEW YORK KNICKS,240,34,68,4,12,29,39,12,36,21,5,4,15,21
BOSTON CELTICS,240,29,76,4,21,15,18,8,22,16,4,1,15,26
GOLDEN STATE WARRIORS,240,53,93,8,26,15,24,15,24,30,8,5,26,28
DENVER NUGGETS,240,52,94,8,23,28,35,15,24,42,15,6,19,26
CHARLOTTE BOBCATS,240,38,79,2,8,17,21,7,30,29,9,5,13,15
DETROIT PISTONS,240,41,83,6,19,16,17,9,30,26,9,5,13,15
CLEVELAND CAVALIERS,240,28,68,5,12,26,32,9,33,16,3,0,19,32
INDIANA PACERS,240,30,76,4,19,33,42,12,28,19,7,5,7,22
WASHINGTON WIZARDS,240,34,85,4,15,8,15,14,35,18,5,7,17,29
MEMPHIS GRIZZLIES,240,30,70,5,15,30,36,7,36,15,6,5,12,21
ORLANDO MAGIC,240,37,81,3,7,30,37,14,24,20,5,5,8,23
MIAMI HEAT,240,36,85,3,9,29,37,20,31,21,4,9,8,23
MINNESOTA TIMBERWOLVES,240,35,73,2,11,14,21,8,44,20,2,5,16,22
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,27,80,3,17,22,26,9,33,13,7,5,8,19
CHICAGO BULLS,240,40,73,6,13,22,28,8,28,21,5,0,22,31
PHILADELPHIA 76ERS,240,42,78,5,15,34,40,8,26,18,12,4,10,23
NEW JERSEY NETS,240,39,89,0,11,15,24,19,30,13,7,5,20,26
PHOENIX SUNS,240,36,74,7,21,20,27,8,29,23,9,11,17,23
DALLAS MAVERICKS,240,38,76,7,16,12,15,9,32,23,10,2,19,24
SAN ANTONIO SPURS,240,36,73,3,12,17,25,10,25,16,6,2,18,17
SACRAMENTO KINGS,240,43,84,9,23,14,22,11,27,23,13,3,17,21
SEATTLE SUPERSONICS,240,38,82,6,20,18,25,11,29,19,10,2,20,25
LOS ANGELES LAKERS,240,35,74,8,21,30,37,6,21,16,8,6,11,26
UTAH JAZZ,240,42,78,5,12,25,30,15,30,28,4,9,14,26
