team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,37,72,9,18,8,13,6,15,17,7,5,16,24
CHICAGO BULLS,240,36,63,8,15,26,31,8,26,24,8,2,18,15
SAN ANTONIO SPURS,240,39,75,7,15,18,21,5,27,26,10,2,9,23
LOS ANGELES CLIPPERS,240,32,71,0,8,17,23,11,26,20,7,2,16,19
TORONTO RAPTORS,240,35,81,4,21,3,5,5,32,22,7,1,18,22
MIAMI HEAT,240,38,75,3,12,20,27,3,39,21,8,3,18,14
MEMPHIS GRIZZLIES,240,33,74,9,20,17,21,10,28,27,9,3,20,18
NEW JERSEY NETS,240,40,84,15,30,10,13,12,32,31,10,4,18,21
CLEVELAND CAVALIERS,240,36,84,7,21,10,13,18,23,19,5,0,10,18
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,40,73,1,12,14,20,8,28,21,5,5,7,14
BOSTON CELTICS,240,37,77,6,17,17,20,7,34,17,9,7,19,27
NEW YORK KNICKS,240,35,90,3,16,17,32,23,30,17,6,4,13,19
PHOENIX SUNS,240,38,74,4,16,23,27,7,29,25,8,7,16,18
ORLANDO MAGIC,240,38,84,2,12,11,21,13,29,18,7,1,17,23
PORTLAND TRAIL BLAZERS,240,28,64,5,18,20,21,7,26,16,8,2,21,31
PHILADELPHIA 76ERS,240,26,69,2,8,25,30,12,25,19,6,4,20,19
DALLAS MAVERICKS,240,26,69,3,20,24,32,6,20,8,8,8,14,27
UTAH JAZZ,240,38,79,2,7,23,27,8,34,24,6,4,14,28
