team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,240,32,78,3,10,21,27,14,32,16,4,6,7,15
DETROIT PISTONS,240,32,75,7,24,14,18,8,27,21,2,7,6,21
GOLDEN STATE WARRIORS,240,32,82,8,17,18,30,9,26,11,13,5,16,24
HOUSTON ROCKETS,240,45,84,6,21,22,28,12,40,28,9,3,21,22
MIAMI HEAT,240,37,91,3,25,20,27,10,33,20,7,6,9,21
LOS ANGELES CLIPPERS,240,37,77,3,10,24,30,9,38,22,4,11,17,22
DALLAS MAVERICKS,240,32,78,6,16,22,24,10,33,21,10,8,12,25
NEW JERSEY NETS,240,26,74,2,12,21,31,14,33,15,6,2,13,21
SACRAMENTO KINGS,240,39,91,4,15,20,22,13,33,22,7,4,14,21
PHOENIX SUNS,240,47,95,14,31,19,22,15,35,32,6,7,13,19
ATLANTA HAWKS,240,32,83,6,23,17,18,12,16,18,13,4,19,21
SEATTLE SUPERSONICS,240,42,76,3,8,15,19,17,27,19,8,9,23,22
