team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHOENIX SUNS,240,41,81,9,17,24,30,10,25,27,6,4,11,17
ATLANTA HAWKS,240,41,85,5,14,19,21,14,29,22,3,8,12,29
CHICAGO BULLS,240,36,75,5,13,16,24,13,32,21,5,9,15,22
DETROIT PISTONS,240,34,90,7,14,20,25,21,20,20,12,9,9,21
LOS ANGELES LAKERS,240,38,83,7,21,19,26,10,35,24,11,4,14,18
GOLDEN STATE WARRIORS,240,37,86,2,19,9,21,13,31,16,7,8,15,20
SACRAMENTO KINGS,240,36,79,7,16,31,42,7,36,25,12,6,14,22
INDIANA PACERS,240,34,89,5,18,20,26,14,35,21,7,8,19,29
CLEVELAND CAVALIERS,240,31,86,9,24,10,21,11,36,17,7,6,10,27
MIAMI HEAT,240,34,79,3,18,15,30,12,38,21,3,3,13,22
WASHINGTON WIZARDS,240,32,85,7,29,23,26,14,27,18,5,8,13,23
MINNESOTA TIMBERWOLVES,240,38,87,4,8,18,27,17,33,26,8,1,13,18
NEW YORK KNICKS,240,35,74,6,19,16,21,9,26,18,1,1,13,21
NEW JERSEY NETS,240,39,81,8,22,15,17,9,28,28,5,3,6,20
HOUSTON ROCKETS,240,29,67,14,27,25,34,9,29,17,6,3,18,29
ORLANDO MAGIC,240,31,79,4,12,27,41,18,26,15,5,8,12,26
