team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,29,72,1,8,23,32,10,29,15,8,7,19,29
CHICAGO BULLS,240,37,79,4,18,22,29,12,34,23,11,4,17,28
INDIANA PACERS,240,29,67,5,16,24,32,8,20,24,6,4,22,26
LOS ANGELES LAKERS,240,39,76,5,19,18,26,11,30,25,11,4,22,31
MEMPHIS GRIZZLIES,240,33,76,7,17,17,25,8,24,22,6,2,13,23
NEW YORK KNICKS,240,36,64,3,13,23,33,8,36,25,4,3,19,25
ORLANDO MAGIC,240,37,70,4,11,14,25,6,36,19,7,7,17,27
SACRAMENTO KINGS,240,30,76,3,16,26,33,13,28,19,7,3,14,17
GOLDEN STATE WARRIORS,240,37,91,4,16,11,16,7,27,20,5,5,10,17
SAN ANTONIO SPURS,240,49,94,13,23,18,19,11,40,37,5,5,12,18
MILWAUKEE BUCKS,240,32,84,9,24,15,23,10,24,16,9,3,12,22
UTAH JAZZ,240,39,77,4,15,19,26,13,35,30,4,8,15,25
DALLAS MAVERICKS,240,31,79,10,21,25,31,12,27,20,6,7,9,17
WASHINGTON WIZARDS,240,45,91,5,12,11,16,17,36,24,2,3,12,24
