team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
OKLAHOMA CITY THUNDER,240,35,85,6,23,16,21,11,27,23,6,2,10,13,away,loss,92.0,SAN ANTONIO SPURS,124.0
SAN ANTONIO SPURS,240,51,84,9,15,13,18,5,38,39,5,10,8,16,home,win,124.0,OKLAHOMA CITY THUNDER,92.0
