team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
ORLANDO MAGIC,240,32,79,7,20,23,29,9,32,17,9,4,16,18,away,loss,94.0,BOSTON CELTICS,113.0
BOSTON CELTICS,240,43,86,10,24,17,21,8,38,28,8,6,12,20,home,win,113.0,ORLANDO MAGIC,94.0
BROOKLYN NETS,240,28,78,4,20,19,23,10,34,13,10,2,10,14,away,loss,79.0,DALLAS MAVERICKS,91.0
DALLAS MAVERICKS,240,37,80,8,21,9,15,10,39,22,6,5,12,17,home,win,91.0,BROOKLYN NETS,79.0
CLEVELAND CAVALIERS,240,39,83,9,23,27,29,10,37,20,4,1,7,25,away,win,114.0,DETROIT PISTONS,106.0
DETROIT PISTONS,240,40,84,7,23,19,26,9,30,20,5,4,9,24,home,loss,106.0,CLEVELAND CAVALIERS,114.0
LOS ANGELES LAKERS,240,34,78,5,13,20,25,11,37,19,6,4,17,21,away,loss,93.0,LOS ANGELES CLIPPERS,105.0
LOS ANGELES CLIPPERS,240,40,81,8,26,17,24,5,33,20,10,9,8,19,home,win,105.0,LOS ANGELES LAKERS,93.0
MIAMI HEAT,240,37,74,7,18,26,32,8,26,27,12,9,17,23,away,win,107.0,MILWAUKEE BUCKS,103.0
MILWAUKEE BUCKS,240,38,80,2,12,25,28,13,27,18,10,5,19,20,home,loss,103.0,MIAMI HEAT,107.0
PHOENIX SUNS,240,35,85,7,26,7,12,12,35,20,4,5,16,19,away,loss,84.0,NEW YORK KNICKS,102.0
NEW YORK KNICKS,240,36,84,7,20,23,26,10,39,24,12,7,8,18,home,win,102.0,PHOENIX SUNS,84.0
HOUSTON ROCKETS,240,36,95,9,39,27,43,11,29,23,14,7,10,21,away,loss,108.0,OKLAHOMA CITY THUNDER,116.0
OKLAHOMA CITY THUNDER,240,41,86,8,19,26,30,11,46,23,6,7,18,29,home,win,116.0,HOUSTON ROCKETS,108.0
CHARLOTTE HORNETS,240,31,80,10,29,19,28,14,33,17,9,4,16,12,away,loss,91.0,PORTLAND TRAIL BLAZERS,109.0
PORTLAND TRAIL BLAZERS,240,45,92,7,20,12,16,13,38,24,10,4,11,21,home,win,109.0,CHARLOTTE HORNETS,91.0
MINNESOTA TIMBERWOLVES,240,35,75,2,10,18,26,13,25,17,9,2,14,13,away,loss,90.0,UTAH JAZZ,103.0
UTAH JAZZ,240,40,76,10,25,13,16,10,30,24,8,5,13,21,home,win,103.0,MINNESOTA TIMBERWOLVES,90.0
