team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
ATLANTA HAWKS,265,37,99,12,42,9,13,12,37,18,8,6,14,20,2016-04-24,away,loss,95.0,BOSTON CELTICS,104.0,0.27205882352941174,0.2222222222222222,49
BOSTON CELTICS,265,40,94,11,33,13,19,12,40,25,7,7,14,19,2016-04-24,home,win,104.0,ATLANTA HAWKS,95.0,0.29850746268656714,0.25,52
CLEVELAND CAVALIERS,240,36,86,13,36,15,17,10,31,16,6,1,5,22,2016-04-24,away,win,100.0,DETROIT PISTONS,98.0,0.29508196721311475,0.2653061224489796,41
DETROIT PISTONS,240,37,76,10,24,14,21,7,35,22,3,4,9,18,2016-04-24,home,loss,98.0,CLEVELAND CAVALIERS,100.0,0.3274336283185841,0.29411764705882354,42
GOLDEN STATE WARRIORS,240,46,89,21,40,8,16,7,36,38,10,2,16,26,2016-04-24,away,win,121.0,HOUSTON ROCKETS,94.0,0.34074074074074073,0.3442622950819672,43
HOUSTON ROCKETS,240,33,78,5,27,23,38,9,35,18,11,3,18,20,2016-04-24,home,loss,94.0,GOLDEN STATE WARRIORS,121.0,0.2972972972972973,0.15625,44
SAN ANTONIO SPURS,240,40,81,10,22,26,31,13,28,21,8,6,10,21,2016-04-24,away,win,116.0,MEMPHIS GRIZZLIES,95.0,0.3305785123966942,0.3125,41
MEMPHIS GRIZZLIES,240,35,78,5,13,20,27,14,23,18,6,5,17,29,2016-04-24,home,loss,95.0,SAN ANTONIO SPURS,116.0,0.30973451327433627,0.2777777777777778,37
