team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
OKLAHOMA CITY THUNDER,240,38,84,5,13,17,20,9,35,21,2,8,9,18,2015-11-05,away,loss,98.0,CHICAGO BULLS,104.0,0.3114754098360656,0.2777777777777778,44
CHICAGO BULLS,240,40,90,7,18,17,21,11,36,20,3,7,6,17,2015-11-05,home,win,104.0,OKLAHOMA CITY THUNDER,98.0,0.3076923076923077,0.28,47
CHARLOTTE HORNETS,240,44,89,6,27,14,17,8,40,19,8,6,11,25,2015-11-05,away,win,108.0,DALLAS MAVERICKS,94.0,0.3308270676691729,0.18181818181818182,48
DALLAS MAVERICKS,240,32,82,6,29,24,27,8,36,17,8,2,13,13,2015-11-05,home,loss,94.0,CHARLOTTE HORNETS,108.0,0.2807017543859649,0.17142857142857143,44
UTAH JAZZ,240,37,85,11,24,11,17,12,31,23,6,6,10,26,2015-11-05,away,win,96.0,DENVER NUGGETS,84.0,0.30327868852459017,0.3142857142857143,43
DENVER NUGGETS,240,28,72,5,20,23,34,11,34,16,4,6,13,14,2015-11-05,home,loss,84.0,UTAH JAZZ,96.0,0.28,0.2,45
MIAMI HEAT,240,37,76,4,14,18,25,7,35,14,6,6,16,19,2015-11-05,away,win,96.0,MINNESOTA TIMBERWOLVES,84.0,0.3274336283185841,0.2222222222222222,42
MINNESOTA TIMBERWOLVES,240,30,85,4,12,20,22,10,34,16,7,6,16,27,2015-11-05,home,loss,84.0,MIAMI HEAT,96.0,0.2608695652173913,0.25,44
MEMPHIS GRIZZLIES,240,37,77,7,20,15,21,7,29,20,4,5,8,14,2015-11-05,away,loss,96.0,PORTLAND TRAIL BLAZERS,115.0,0.32456140350877194,0.25925925925925924,36
PORTLAND TRAIL BLAZERS,240,44,87,15,30,12,20,14,33,29,3,3,8,19,2015-11-05,home,win,115.0,MEMPHIS GRIZZLIES,96.0,0.33587786259541985,0.3333333333333333,47
