team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
UTAH JAZZ,240,39,76,7,21,12,17,10,30,21,7,7,17,15,away,win,97.0,ATLANTA HAWKS,96.0
ATLANTA HAWKS,240,37,76,8,22,14,17,8,25,26,9,5,15,16,home,loss,96.0,UTAH JAZZ,97.0
PORTLAND TRAIL BLAZERS,240,35,89,5,21,19,21,16,30,20,5,3,12,25,away,loss,94.0,CHARLOTTE HORNETS,106.0
CHARLOTTE HORNETS,240,41,83,9,31,15,19,7,30,29,6,9,11,16,home,win,106.0,PORTLAND TRAIL BLAZERS,94.0
DETROIT PISTONS,240,35,96,7,27,8,15,12,34,16,7,2,10,25,away,loss,85.0,LOS ANGELES LAKERS,97.0
LOS ANGELES LAKERS,240,31,75,6,19,29,39,7,39,24,5,5,16,19,home,win,97.0,DETROIT PISTONS,85.0
MEMPHIS GRIZZLIES,240,40,71,9,17,25,27,4,30,21,7,6,15,16,away,win,114.0,MINNESOTA TIMBERWOLVES,106.0
MINNESOTA TIMBERWOLVES,240,41,82,5,16,19,21,9,24,20,10,2,12,24,home,loss,106.0,MEMPHIS GRIZZLIES,114.0
NEW ORLEANS PELICANS,240,32,71,6,21,17,19,4,32,16,5,5,18,22,away,loss,87.0,NEW YORK KNICKS,95.0
NEW YORK KNICKS,240,38,88,4,18,15,19,10,31,18,8,4,9,20,home,win,95.0,NEW ORLEANS PELICANS,87.0
BOSTON CELTICS,240,39,82,9,23,13,20,12,35,25,12,7,18,26,away,win,100.0,OKLAHOMA CITY THUNDER,85.0
OKLAHOMA CITY THUNDER,240,28,77,6,25,23,29,10,24,18,10,6,18,20,home,loss,85.0,BOSTON CELTICS,100.0
TORONTO RAPTORS,240,38,87,15,31,10,14,7,29,18,13,1,15,20,away,loss,101.0,SACRAMENTO KINGS,107.0
SACRAMENTO KINGS,240,39,76,10,25,19,24,9,33,23,8,5,19,19,home,win,107.0,TORONTO RAPTORS,101.0
